"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"COUNCIL",747,51,48,41,22,22,10,4,99,99,23.2338024705876,0.957331169440133,0.5,10.3356340985968,0.253839812562669,0,66.6666666666667,3.42618732693395,9.75123441523352,0.0238570986320919,0.229982713930577,3.95363868885604,5.69862253497248,FALSE,FALSE,FALSE,FALSE
"BP-BK",120,64,35,30,41,17,3,9,99,100,82.9517196651005,4.35267108804541,-0.5,34.5248236874064,1.01373495292925,47.4496902668774,33.3333333333333,21.7487002174862,26.8133826567334,0.158133078020561,0.855601874908693,36.9549590596007,43.5594213211962,FALSE,FALSE,FALSE,FALSE
"CFB",117,54,46,41,12,15,25,8,100,101,51.0725568069446,3.07607934806167,0.5,20.632448672021,0.673456372611097,20.1983063736238,66.6666666666667,6.88795983341313,19.4487518246511,0.0487529779088462,0.62470339470225,10.1887585230936,27.217352191232,FALSE,FALSE,FALSE,FALSE
"BP-QNS",118,64,36,44,21,16,8,10,100,99,64.2338024705876,3.46043066145646,0.5,27.2349001210805,0.727335411002344,33.1497231670537,66.6666666666667,21.0300954571441,17.3053422291684,0.151313623171623,0.576021787830721,35.6606548308275,22.4611398865205,FALSE,FALSE,FALSE,FALSE
"BP-MAN",93,58,42,30,31,27,8,4,100,100,39.9517196651005,1.54826070356814,-0.5,18.4221784399321,0.39444322203555,15.8626242072714,33.3333333333333,12.5448140829055,13.4908968604031,0.0891584183218061,0.305284803713744,20.3775170461871,13.9969097940519,FALSE,FALSE,FALSE,FALSE
"BP-BX",91,59,41,23,20,46,1,10,100,100,70.264511094125,4.04748933875787,-0.5,30.2130886177509,0.995096591505559,38.9917593875959,33.3333333333333,13.9590276452786,26.795079231501,0.0993618978987054,0.895734693606854,22.9247066769605,43.518806136636,FALSE,FALSE,FALSE,FALSE
"PA",73,53,45,23,40,18,4,15,98,100,71.9517196651005,5.5884942568988,-0.5,29.9241247500395,1.00077882697122,38.4249257625632,33.3333333333333,7.03164210314437,29.0862381787197,0.0495660336331337,0.951212793338091,10.4475496967345,48.6028733162256,FALSE,FALSE,FALSE,FALSE
"BP-SI",49,59,41,76,8,8,0,8,100,100,111.555953481825,5.05654388832817,-0.5,51.7051287255242,1.45720617325421,81.1507016114777,33.3333333333333,13.9590276452786,49.7851974357979,0.0993618978987054,1.35784427535551,22.9247066769605,94.5337326912692,TRUE,FALSE,TRUE,TRUE
"PUBADMIN",46,57,43,35,26,30,4,4,100,99,36.2244428883745,1.53412226703967,1.5,16.8172900041064,0.476937455325733,12.7144633764492,100,11.1306005205324,12.6067829018565,0.0790020456000698,0.397935409725663,17.8303274154138,12.0350665246792,FALSE,FALSE,FALSE,FALSE
"NYCHA",11937,39,61,16,51,24,5,4,100,100,82.4696272381125,3.31270379152846,-0.5,39.9662731766378,0.795115694699166,58.1236771699497,33.3333333333333,14.3252436021833,37.3107275105665,0.102742506594418,0.692373188104748,23.5843110767982,66.8529630062869,FALSE,FALSE,FALSE,FALSE
"PARKS",6977,33,67,35,31,25,7,3,100,101,54.2188855807556,1.9975226123781,-0.5,26.5085656571965,0.528950671470344,31.7249401988224,33.3333333333333,22.8105249764219,13.5049621806924,0.166615735691827,0.362334935778518,38.8674488614386,14.0281206506099,FALSE,FALSE,FALSE,FALSE
"HPD",2390,51,49,25,38,21,13,3,100,100,39.4188952022564,1.76903949996952,-1.5,21.2707049726547,0.39930304973581,21.4503145760797,0,2.64531914629385,21.1055721705896,0.0187052624254691,0.380597787310341,2.54718963077339,30.8938260358284,FALSE,FALSE,FALSE,FALSE
"LPC",75,72,28,69,9,8,7,7,100,100,121.555953481825,4.58068718165437,-0.5,52.9384001102906,1.19999445602147,83.5698957315338,33.3333333333333,32.3438039561288,41.908860064248,0.239393048476525,0.960601407544948,56.0381718770147,77.0561899940754,TRUE,FALSE,TRUE,TRUE
"DCLA",79,62,38,39,19,19,15,8,100,100,44.0725568069446,2.16429332856564,0.5,20.89334782532,0.449920554901332,20.710088050702,66.6666666666667,18.2016683323979,10.2582285638011,0.130319436097797,0.319601118803535,30.5662755692807,6.82363933666826,FALSE,FALSE,FALSE,FALSE
